Date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, HDD, CDD, Precipitation, Snowfall, SnowDepth
2026-04-01, 22, 9, 15.5, 1.9, 49, 0, T, M, M
2026-04-02, 21, 1, 11.0, -3.2, 54, 0, T, M, M
2026-04-03, 22, 3, 12.5, -2.2, 52, 0, 0.02, M, M
2026-04-04, 20, 2, 11.0, -4.3, 54, 0, T, M, M
2026-04-05, 21, -4, 8.5, -7.4, 56, 0, 0.00, M, M
2026-04-06, 23, -5, 9.0, -7.5, 56, 0, T, M, M
2026-04-07, 36, 14, 25.0, 7.9, 40, 0, 0.00, M, M
2026-04-08, 31, 9, 20.0, 2.2, 45, 0, 0.00, M, M
2026-04-09, 32, 23, 27.5, 9.1, 37, 0, 0.10, M, M
2026-04-10, 32, 29, 30.5, 11.4, 34, 0, 0.04, M, M
2026-04-11, 33, 28, 30.5, 10.7, 34, 0, 0.17, M, M
2026-04-12, 36, 21, 28.5, 8.1, 36, 0, 0.02, M, M
2026-04-13, 27, 15, 21.0, -0.1, 44, 0, T, M, M
2026-04-14, 21, 5, 13.0, -8.8, 52, 0, T, M, M
2026-04-15, 23, 3, 13.0, -9.4, 52, 0, T, M, M
2026-04-16, 31, 12, 21.5, -1.6, 43, 0, T, M, M
2026-04-17, 30, 19, 24.5, 0.7, 40, 0, T, M, M
2026-04-18, 20, 6, 13.0, -11.4, 52, 0, 0.00, M, M
2026-04-19, 25, 12, 18.5, -6.6, 46, 0, 0.00, M, M
2026-04-20, 15, 4, 9.5, -16.2, 55, 0, 0.00, M, M
2026-04-21, 14, -3, 5.5, -20.8, 59, 0, T, M, M
2026-04-22, 28, 10, 19.0, -8.0, 46, 0, 0.08, M, M
2026-04-23, 35, 28, 31.5, 3.9, 33, 0, 0.09, M, M
2026-04-24, 35, 34, 34.5, 6.4, 30, 0, 0.18, M, M
2026-04-25, 35, 32, 33.5, 4.8, 31, 0, 0.07, M, M
2026-04-26, 41, 34, 37.5, 8.2, 27, 0, 0.04, M, M
2026-04-27, 42, 34, 38.0, 8.2, 27, 0, 0.12, M, M
2026-04-28, 38, 31, 34.5, 4.2, 30, 0, T, M, M
2026-04-29, 37, 33, 35.0, 4.2, 30, 0, 0.02, M, M
2026-04-30, 37, 32, 34.5, 3.2, 30, 0, 0.14, M, M
