year,fifdj,qdj,mdj
1961,11,12,15
1962,14,19,22
1963,12,13,19
1964,22,23,25
1965,16,16,19
1966,16,18,22
1967,7,7,13
1968,12,14,21
1969,9,11,13
1970,16,18,20
1971,23,25,29
1972,19,21,24
1973,12,14,19
1974,8,10,15
1975,19,21,25
1976,23,23,28
1977,21,23,25
1978,15,15,20
1979,11,11,16
1980,9,14,18
1981,5,8,14
1982,13,17,22
1983,5,6,11
1984,15,18,23
1985,23,26,30
1986,17,18,21
1987,14,18,24
1988,9,12,20
1989,13,15,19
1990,14,14,19
1991,10,13,19
1992,19,22,28
1993,9,12,18
1994,13,16,19
1995,9,11,17
1996,6,8,10
1997,11,14,19
1998,16,21,27
1999,21,22,25
2000,17,18,25
2001,15,21,25
2002,12,13,20
2003,5,10,15
2004,10,12,17
2005,13,17,23
2006,17,20,24
2007,15,17,22
2008,16,19,26
2009,14,16,22
2010,17,19,25
2011,15,16,21
2012,22,26,32
2013,21,23,28
2014,12,14,21
2015,17,20,26
2016,9,13,19
2017,11,13,20
2018,17,20,23
2019,17,19,23
2020,11,16,23
