year,month,day,skt
1961,5,1,-1.1999877929687273
1961,5,2,-1.3500122070312273
1961,5,3,-3.1399902343749773
1961,5,4,-4.170019531249977
1961,5,5,-2.6999877929687273
1961,5,6,-1.8700012207031023
1961,5,7,-1.1399902343749773
1961,5,8,-0.42001953124997726
1961,5,9,-0.05002441406247726
1961,5,10,-1.2999938964843523
1961,5,11,-2.0499938964843523
1961,5,12,-3.6700195312499773
1961,5,13,-1.0000061035156023
1961,5,14,-0.5000061035156023
1961,5,15,-0.05002441406247726
1961,5,16,-0.05002441406247726
1961,5,17,-0.05002441406247726
1961,5,18,-0.05002441406247726
1961,5,19,-0.6399902343749773
1961,5,20,-0.37000122070310226
1961,5,21,-1.3500122070312273
1961,5,22,-0.05002441406247726
1961,5,23,-0.31998291015622726
1961,5,24,-2.0499938964843523
1961,5,25,-0.6200012207031023
1961,5,26,-1.5199951171874773
1961,5,27,-0.05002441406247726
1961,5,28,-0.22000732421872726
1961,5,29,-0.05002441406247726
1961,5,30,-0.05002441406247726
1961,5,31,-0.05002441406247726
1962,5,1,-4.750006103515602
1962,5,2,-1.4499877929687273
1962,5,3,-3.0199951171874773
1962,5,4,-3.3199829101562273
1962,5,5,-2.6399902343749773
1962,5,6,-0.5499938964843523
1962,5,7,-0.05002441406247726
1962,5,8,-0.25000610351560226
1962,5,9,-1.3700012207031023
1962,5,10,-0.31998291015622726
1962,5,11,-0.06998291015622726
1962,5,12,-0.05002441406247726
1962,5,13,-0.5699829101562273
1962,5,14,-1.3500122070312273
1962,5,15,-0.05002441406247726
1962,5,16,-3.0199951171874773
1962,5,17,-0.17001953124997726
1962,5,18,-0.05002441406247726
1962,5,19,-0.05002441406247726
1962,5,20,-0.05002441406247726
1962,5,21,-0.6700195312499773
1962,5,22,-2.9700073242187273
1962,5,23,-1.2999938964843523
1962,5,24,-0.05002441406247726
1962,5,25,-0.05002441406247726
1962,5,26,-0.05002441406247726
1962,5,27,-0.05002441406247726
1962,5,28,-0.6999877929687273
1962,5,29,-2.5199951171874773
1962,5,30,-2.1999877929687273
1962,5,31,-0.8500122070312273
1963,5,1,-0.6399902343749773
1963,5,2,-0.05002441406247726
1963,5,3,-0.05002441406247726
1963,5,4,0.05999145507814774
1963,5,5,0.05999145507814774
1963,5,6,0.14998779296877274
1963,5,7,0.14998779296877274
1963,5,8,0.14998779296877274
1963,5,9,0.24999389648439774
1963,5,10,0.36000976562502274
1963,5,11,0.36000976562502274
1963,5,12,0.44997558593752274
1963,5,13,0.44997558593752274
1963,5,14,0.5599914550781477
1963,5,15,0.5599914550781477
1963,5,16,0.6499877929687727
1963,5,17,0.7499938964843977
1963,5,18,0.9499755859375227
1963,5,19,1.0599914550781477
1963,5,20,1.1499877929687727
1963,5,21,1.2499938964843977
1963,5,22,1.3600097656250227
1963,5,23,1.5599914550781477
1963,5,24,1.6499877929687727
1963,5,25,1.7499938964843977
1963,5,26,1.8600097656250227
1963,5,27,1.9499755859375227
1963,5,28,2.1499877929687727
1963,5,29,2.2499938964843977
1963,5,30,2.3600097656250227
1963,5,31,2.4499755859375227
1964,5,1,-11.720007324218727
1964,5,2,-7.389990234374977
1964,5,3,-3.3500122070312273
1964,5,4,-5.470007324218727
1964,5,5,-8.940008544921852
1964,5,6,-10.299993896484352
1964,5,7,-7.250006103515602
1964,5,8,-6.750006103515602
1964,5,9,-8.190008544921852
1964,5,10,-8.750006103515602
1964,5,11,-4.049993896484352
1964,5,12,-1.1000122070312273
1964,5,13,-0.05002441406247726
1964,5,14,-0.13999023437497726
1964,5,15,-3.6900085449218523
1964,5,16,-5.819982910156227
1964,5,17,-0.37000122070310226
1964,5,18,-0.05002441406247726
1964,5,19,-0.06998291015622726
1964,5,20,-1.2999938964843523
1964,5,21,-2.8199829101562273
1964,5,22,-2.3500122070312273
1964,5,23,-1.2200073242187273
1964,5,24,-1.4700073242187273
1964,5,25,-0.6200012207031023
1964,5,26,-2.5000061035156023
1964,5,27,-1.7200073242187273
1964,5,28,-2.0699829101562273
1964,5,29,-0.05002441406247726
1964,5,30,-0.05002441406247726
1964,5,31,-1.5499938964843523
1965,5,1,-0.7999938964843523
1965,5,2,-0.25000610351560226
1965,5,3,-0.25000610351560226
1965,5,4,-0.13999023437497726
1965,5,5,-0.05002441406247726
1965,5,6,-0.05002441406247726
1965,5,7,0.05999145507814774
1965,5,8,0.05999145507814774
1965,5,9,0.14998779296877274
1965,5,10,0.14998779296877274
1965,5,11,0.24999389648439774
1965,5,12,0.24999389648439774
1965,5,13,0.36000976562502274
1965,5,14,0.36000976562502274
1965,5,15,0.44997558593752274
1965,5,16,0.5599914550781477
1965,5,17,0.6499877929687727
1965,5,18,0.8600097656250227
1965,5,19,0.9499755859375227
1965,5,20,1.0599914550781477
1965,5,21,1.1499877929687727
1965,5,22,1.2499938964843977
1965,5,23,1.4499755859375227
1965,5,24,1.5599914550781477
1965,5,25,1.6499877929687727
1965,5,26,1.7499938964843977
1965,5,27,1.8600097656250227
1965,5,28,1.9499755859375227
1965,5,29,2.0599914550781477
1965,5,30,2.1499877929687727
1965,5,31,2.2499938964843977
1966,5,1,-3.2699951171874773
1966,5,2,-2.1700195312499773
1966,5,3,-4.100012207031227
1966,5,4,-3.7900146484374773
1966,5,5,-5.600012207031227
1966,5,6,-5.819982910156227
1966,5,7,-8.319982910156227
1966,5,8,-10.340002441406227
1966,5,9,-8.670019531249977
1966,5,10,-8.220007324218727
1966,5,11,-8.100012207031227
1966,5,12,-4.940008544921852
1966,5,13,-0.05002441406247726
1966,5,14,-3.9200195312499773
1966,5,15,-10.819982910156227
1966,5,16,-10.670019531249977
1966,5,17,-7.350012207031227
1966,5,18,-3.6200012207031023
1966,5,19,-0.29999389648435226
1966,5,20,-1.1399902343749773
1966,5,21,-3.5699829101562273
1966,5,22,-6.769995117187477
1966,5,23,-2.3700012207031023
1966,5,24,-1.6200012207031023
1966,5,25,-0.6999877929687273
1966,5,26,-1.6700195312499773
1966,5,27,-3.3199829101562273
1966,5,28,-4.549993896484352
1966,5,29,-4.100012207031227
1966,5,30,-0.25000610351560226
1966,5,31,-0.05002441406247726
1967,5,1,0.11000976562502274
1967,5,2,0.8600097656250227
1967,5,3,0.9499755859375227
1967,5,4,0.9499755859375227
1967,5,5,0.9499755859375227
1967,5,6,1.0599914550781477
1967,5,7,1.0599914550781477
1967,5,8,1.1499877929687727
1967,5,9,1.1499877929687727
1967,5,10,1.1499877929687727
1967,5,11,1.2499938964843977
1967,5,12,1.2499938964843977
1967,5,13,1.2499938964843977
1967,5,14,1.3600097656250227
1967,5,15,1.3600097656250227
1967,5,16,1.4499755859375227
1967,5,17,1.5599914550781477
1967,5,18,1.6499877929687727
1967,5,19,1.6499877929687727
1967,5,20,1.7499938964843977
1967,5,21,1.8600097656250227
1967,5,22,1.9499755859375227
1967,5,23,2.0599914550781477
1967,5,24,2.1499877929687727
1967,5,25,2.2499938964843977
1967,5,26,2.3600097656250227
1967,5,27,2.4499755859375227
1967,5,28,2.5599914550781477
1967,5,29,2.6499877929687727
1967,5,30,2.7499938964843977
1967,5,31,2.8600097656250227
1968,5,1,-6.370001220703102
1968,5,2,-8.690008544921852
1968,5,3,-6.750006103515602
1968,5,4,-0.05002441406247726
1968,5,5,-0.25000610351560226
1968,5,6,-0.10001220703122726
1968,5,7,-0.8500122070312273
1968,5,8,-3.9700073242187273
1968,5,9,-0.8199829101562273
1968,5,10,-0.06998291015622726
1968,5,11,-0.05002441406247726
1968,5,12,-0.47000732421872726
1968,5,13,-2.5000061035156023
1968,5,14,-2.1399902343749773
1968,5,15,-2.4400085449218523
1968,5,16,-2.8700012207031023
1968,5,17,-2.7500061035156023
1968,5,18,-3.0699829101562273
1968,5,19,-1.1999877929687273
1968,5,20,-0.6200012207031023
1968,5,21,-1.1000122070312273
1968,5,22,-1.2999938964843523
1968,5,23,-1.0699829101562273
1968,5,24,-1.5000061035156023
1968,5,25,-3.0000061035156023
1968,5,26,-3.3899902343749773
1968,5,27,-2.0499938964843523
1968,5,28,-0.05002441406247726
1968,5,29,-0.05002441406247726
1968,5,30,-0.05002441406247726
1968,5,31,-2.0699829101562273
1969,5,1,-0.7300170898437273
1969,5,2,-0.16000976562497726
1969,5,3,-0.16000976562497726
1969,5,4,-0.05002441406247726
1969,5,5,0.05001220703127274
1969,5,6,0.05001220703127274
1969,5,7,0.14998779296877274
