date,mean_sea_ice_percent
2023-03-20,76.026665
2023-03-21,74.600006
2023-03-22,77.98667
2023-03-23,81.46667
2023-03-24,86.853325
2023-03-25,82.45332
2023-03-26,79.80001
2023-03-27,86.26667
2023-03-28,85.66666
2023-03-29,85.4
2023-03-30,84.37333
2023-03-31,83.63999
2023-04-01,83.94666
2023-04-02,84.02666
2023-04-03,87.46667
2023-04-04,86.42667
2023-04-05,83.45333
2023-04-06,84.46667
2023-04-07,84.40001
2023-04-08,85.106674
2023-04-09,87.70667
2023-04-10,89.093346
2023-04-11,88.73333
2023-04-12,87.71999
2023-04-13,83.56001
2023-04-14,82.479996
2023-04-15,82.13334
2023-04-16,83.86667
2023-04-17,86.06667
2023-04-18,86.10666
2023-04-19,83.4
2023-04-20,84.18666
2023-04-21,85.079994
2023-04-22,88.2
2023-04-23,85.71999
2023-04-24,84.61333
2023-04-25,78.41333
2023-04-26,73.96
2023-04-27,69.56001
2023-04-28,67.53333
2023-04-30,55.933334
2023-05-01,55.64138
2023-05-02,50.88
2023-05-03,49.400005
2023-05-04,45.479996
2023-05-05,46.65334
2023-05-06,47.186665
2023-05-07,45.04
2023-05-08,46.586666
2023-05-09,47.52
2023-05-10,47.279995
2023-05-11,42.839993
2023-05-12,45.733326
2023-05-13,44.42667
2023-05-14,37.066666
2023-05-15,16.733334
2023-05-16,24.106667
2023-05-17,24.093332
2023-05-18,20.44
2023-05-19,21.653332
2023-05-20,21.293333
2023-05-21,23.519999
2023-05-22,18.2
2023-05-23,13.039999
2023-05-24,11.186666
2023-05-25,6.4266667
2023-05-26,4.0933332
2023-05-27,3.16
2023-05-28,2.9333334
2023-05-29,2.7866666
2023-05-30,1.4133334
2023-05-31,5.68
2023-06-01,3.9866667
