date,surface_temp_c
2023-05-01,-0.1875
2023-05-02,-1.4375
2023-05-03,-3.8125
2023-05-04,-6.375
2023-05-05,-5.25
2023-05-06,-5.375
2023-05-07,-8.0
2023-05-08,-2.6875
2023-05-09,-2.0
2023-05-10,-2.0625
2023-05-11,-2.875
2023-05-12,-5.375
2023-05-13,-3.0
2023-05-14,-0.0625
2023-05-15,-1.875
2023-05-16,-1.75
2023-05-17,-1.6875
2023-05-18,-1.875
2023-05-19,-1.75
2023-05-20,-1.625
2023-05-21,-1.625
2023-05-22,-1.5625
2023-05-23,-1.4375
2023-05-24,-1.4375
2023-05-25,-1.375
2023-05-26,-1.25
2023-05-27,-1.125
2023-05-28,-1.0625
2023-05-29,-0.9375
2023-05-30,-0.75
2023-05-31,-0.625
