year,msstc
1961,-1.035492140246953
1962,-1.1148447344379813
1963,0.9022490470640349
1964,-3.5861326156123763
1965,0.7648303616431679
1966,-4.521939382245441
1967,1.607088938067059
1968,-1.9890355263986668
1969,1.058378945627543
1970,-1.6109719553301185
1971,-1.848390837638586
1972,-0.9164548812373765
1973,-3.0190362745715498
1974,1.0932172221522405
1975,-2.235165700604816
1976,-2.6841924851940298
1977,-2.5522640105216508
1978,1.4783795756678655
1979,0.5970870479460912
1980,1.5667663574218977
1981,1.143217812815043
1982,-2.8983919205203907
1983,-1.7664580314389893
1984,-3.6164582283265903
1985,-2.4119432018648967
1986,-1.260647878339191
1987,-1.5732286022555215
1988,-0.9183912707913079
1989,-1.376462087323566
1990,-1.4848467426915095
1991,-0.8432323824974571
1992,-4.221293000251993
1993,-0.5154903288810256
1994,-1.0548452069682233
1995,-1.48968328660532
1996,-0.5074267971899974
1997,-1.2545197517640903
1998,-1.3732242707283038
1999,-3.3025750929309248
2000,-1.6006392940397958
2001,-4.279674111643122
2002,-1.0651581794984653
2003,-0.3780657368321345
2004,-0.9341944540700378
2005,-1.2687114100302193
2006,-1.5993536180065298
2007,-2.1048408754410053
2008,-2.0945170740927193
2009,-1.4687137726814288
2010,-1.872585370463687
2011,-2.1880652643018927
2012,-3.2790322580644933
2013,-3.3719376102570338
2014,-0.3177442981350579
2015,-1.431453778666812
2016,-0.5040334393900983
2017,-0.15644806892638854
2018,0.1096789944556679
2019,0.019358776461716284
2020,-1.4306465395035055
2021,-1.8725814327116708
2022,0.22096675749750258
2023,-2.3322578676285053
2024,-2.12499822801157
