year,msstc
1961,-1.03549214024696
1962,-1.11484473443801
1963,0.902249047064061
1964,-3.58613261561237
1965,0.764830361643192
1966,-4.52193938224542
1967,1.60708893806708
1968,-1.9890355263986499
1969,1.05837894562757
1970,-1.61097195533011
1971,-1.84839083763859
1972,-0.916454881237371
1973,-3.01903627457153
1974,1.09321722215225
1975,-2.2351657006048
1976,-2.68419248519405
1977,-2.55226401052164
1978,1.47837957566787
1979,0.597087047946104
1980,1.5667663574219
1981,1.14321781281507
1982,-2.8983919205204
1983,-1.76645803143902
1984,-3.61645822832656
1985,-2.41194320186491
1986,-1.26064787833917
1987,-1.57322860225554
1988,-0.91839127079129
1989,-1.37646208732355
1990,-1.4848467426915
1991,-0.843232382497433
1992,-4.22129300025199
1993,-0.515490328881015
1994,-1.0548452069682
1995,-1.48968328660533
1996,-0.507426797190021
1997,-1.25451975176406
1998,-1.37322427072831
1999,-3.30257509293091
2000,-1.60063929403981
2001,-4.27967411164315
2002,-1.06515817949844
2003,-0.378065736832127
2004,-0.934194454070052
2005,-1.26871141003022
2006,-1.59935361800655
2007,-2.10484087544103
2008,-2.09451707409272
2009,-1.46871377268144
2010,-1.8725853704637
2011,-2.18806526430188
2012,-3.27903225806449
2013,-3.37193761025702
2014,-0.31774429813504
2015,-1.43145377866682
2016,-0.504033439390071
2017,-0.156448068926409
2018,0.109678994455692
2019,0.0193587764617291
2020,-1.43064653950353
2021,-2.22500076293943
